at_btc,sum_100,sum_500
25000,5011,24979
50000,5411,25411
75000,7436,27436
100000,8986,28986
125000,9586,29586
150000,10607,30607
175000,11605,31605
200000,14255,34255
225000,14755,34755
250000,17055,37055
275000,17405,37405
300000,19555,39555
325000,21555,41555
350000,22755,42755
375000,23505,43505
400000,26605,46605
425000,27755,47755
450000,29155,49155
475000,31755,51755
500000,32605,52605
525000,32605,52605
550000,33255,53255
575000,33287,53287
600000,39387,59387
625000,40137,60137
650000,41137,61137
675000,43786,63786
700000,43786,63786
725000,43887,63887
750000,44387,64387
775000,44387,64387
800000,47387,67387
825000,47387,67387
850000,47387,67387
875000,47387,67387
900000,50462,70462
925000,51537,71537
950000,51637,71637
975000,51637,71637
1000000,57637,77637
1025000,57687,77687
1050000,63187,83187
1075000,63187,83187
1100000,65786,85786
1125000,67136,87136
1150000,67137,87137
1175000,74537,94537
1200000,78787,98787
1225000,79937,99937
1250000,83537,103537
1275000,92837,112837
1300000,96687,116687
1325000,100737,120737
1350000,103737,123737
1375000,103737,123737
1400000,107737,127737
1425000,107737,127737
1450000,116733,136733
1475000,121970,141970
1500000,139274,159274
1525000,139448,159448
1550000,139448,159448
1575000,139448,159448
1600000,139648,159648
1625000,139648,159648
1650000,139648,159648
1675000,143672,163672
1700000,143672,163672
1725000,154421,174421
1750000,155022,175022
1775000,155223,175223
1800000,155575,175575
1825000,158473,178473
1850000,161073,181073
1875000,164373,184373
1900000,165873,185873
1925000,180091,200091
1950000,181841,201841
1975000,238641,258641
2000000,244141,264141
2025000,255123,275123
2050000,257787,277787
2075000,259487,279487
2100000,279539,299539
2125000,284889,304889
2150000,293139,313139
2175000,301839,321839
2200000,326589,346589
2225000,349375,369375
2250000,354575,374575
2275000,356875,376875
2300000,368771,388771
2325000,373983,393983
2350000,379113,399113
2375000,400787,420787
2400000,404587,424587
2425000,407661,427661
2450000,412764,432764
2475000,428077,448101
2500000,444102,464882
2525000,456493,477153
2550000,462203,484327
2575000,503293,527078
2600000,518886,545246
2625000,533373,562065
2650000,540312,572558
2675000,549349,585147
2700000,556307,591597
2725000,568112,606402
2750000,592123,631214
2775000,612251,654709
2800000,631090,673015
2825000,647124,688880
2850000,656392,699134
2875000,668107,712050
2900000,678974,725939
2925000,686781,735416
2950000,693865,744334
2975000,704886,757789
3000000,728611,777169
3025000,744356,789575
3050000,756786,802938
3075000,762913,811427
3100000,787639,825474
3125000,795343,834745
3150000,799393,843150
3175000,810746,858742
3200000,827925,880641
3225000,844132,900573
3250000,851685,914265
3275000,860611,929553
3300000,858155,929666
3325000,857984,931522
3350000,855277,935477
3375000,859530,943070
3400000,869313,960526
3425000,874094,967413
3450000,888879,998659
3475000,891349,1017850
3500000,896371,1030912
3525000,895817,1047190
3550000,933927,1086218
3575000,939778,1100899
3600000,944090,1113789
3625000,947703,1127822
3650000,954377,1144660
3675000,964902,1163727
3700000,976187,1178542
3725000,980587,1192688
3750000,999344,1207887
3775000,1004980,1227040
3800000,1007603,1242290
3825000,1014011,1257401
3850000,1018161,1269590
3875000,1022434,1288738
3900000,1026580,1301707
3925000,1034488,1319622
3950000,1037628,1333173
3975000,1038579,1350634
4000000,1038742,1367540
4025000,1072666,1409008
4050000,1089266,1427382
4075000,1094865,1443735
4100000,1110945,1457340
4125000,1139346,1492103
4150000,1190067,1558483
4175000,1209074,1578743
4200000,1236212,1602035
4225000,1270673,1631213
4250000,1279276,1657699
4275000,1291051,1672963
4300000,1308125,1693352
4325000,1315883,1706223
4350000,1323937,1724198
4375000,1332452,1735280
4400000,1351213,1755445
4425000,1348740,1775062
4450000,1359310,1791814
4475000,1363540,1800403
4500000,1376422,1822061
4525000,1380992,1838184
4550000,1413871,1884126
4575000,1412271,1891518
4600000,1417866,1914074
4625000,1426477,1928791
4650000,1435526,1937776
4675000,1444521,1953879
4700000,1461131,1972074
4725000,1465813,1982361
4750000,1492127,2011290
4775000,1521941,2037897
4800000,1520521,2045755
4825000,1525427,2058278
4850000,1533497,2068060
4875000,1549808,2099594
4900000,1551998,2110738
4925000,1547209,2122058
4950000,1547280,2137329
4975000,1551961,2145446
5000000,1552361,2161703
5025000,1547500,2170927
5050000,1550757,2191079
5075000,1554817,2211725
5100000,1558875,2221355
5125000,1566655,2237867
5150000,1575339,2270586
5175000,1586388,2291153
5200000,1586324,2315505
5225000,1602658,2330760
5250000,1749974,2388304
5275000,1754330,2396845
5300000,1759449,2431580
5325000,1759060,2450267
5350000,1768461,2457900
5375000,1779057,2471677
5400000,1776639,2488930
5425000,1780758,2509714
5450000,1782869,2519946
5475000,1789658,2536873
5500000,1785942,2547316
5525000,1787469,2563237
5550000,1821727,2582496
5575000,1682710,2568652
5600000,1683889,2574744
5625000,1695664,2595227
5650000,1693515,2608091
5675000,1673257,2608689
5700000,1688080,2641279
5725000,1697778,2657225
5750000,1696880,2661097
5775000,1693688,2664275
5800000,1689843,2668151
5825000,1681560,2671834
5850000,1681074,2681229
5875000,1679747,2683387
5900000,1677843,2694388
5925000,1707782,2715290
5950000,1687696,2710585
5975000,1747213,2746990
6000000,1724030,2731384
6025000,1720367,2733144
6050000,1701562,2736951
6075000,1776413,2782400
6100000,1798531,2811097
6125000,1789207,2814956
6150000,1785023,2819192
6175000,1821948,2846914
6200000,1848648,2871046
6225000,1885471,2899159
6250000,1898847,2911506
6275000,1887940,2913459
6300000,1929320,2951285
6325000,1926539,2950752
6350000,1927066,2955797
6375000,1941202,2965003
6400000,1951750,2976933
6425000,1969568,3001993
6450000,1975305,3001522
6475000,1908475,2972546
6500000,1892922,2964290
6525000,2036669,3076598
6550000,2011118,3089937
6575000,1982630,3079501
6600000,2026770,3133966
6625000,2024613,3133440
6650000,2070831,3151993
6675000,2039175,3119434
6700000,2017097,3099437
6725000,2021193,3114807
6750000,2023390,3119802
6775000,2022768,3120228
6800000,2015804,3106060
6825000,2014796,3102313
6850000,2032889,3133808
6875000,2024735,3132682
6900000,2022369,3134825
6925000,2014887,3139403
6950000,2001861,3145671
6975000,1993674,3145987
7000000,2040385,3192687
7025000,2058039,3219402
7050000,2049720,3212232
7075000,2078355,3244240
7100000,2078800,3246731
7125000,2088954,3251688
7150000,2076628,3282106
7175000,2079320,3283136
7200000,2079620,3310745
7225000,2112599,3336489
7250000,2201130,3383280
7275000,2209334,3402180
7300000,2209379,3397805
7325000,2241008,3418753
7350000,2233344,3413676
7375000,2234395,3407070
7400000,2234995,3412906
7425000,2242917,3435846
7450000,2241091,3427703
7475000,2242763,3425355
7500000,2234295,3425088
7525000,2232032,3427028
7550000,2232226,3435442
7575000,2252307,3455560
7600000,2263071,3471050
7625000,2253376,3467567
7650000,2251634,3476164
7675000,2252702,3472184
7700000,2252638,3479238
7725000,2241895,3463369
7750000,2241254,3451613
7775000,2271537,3474403
7800000,2262469,3468224
7825000,2247524,3463051
7850000,1841787,3144002
7875000,1813478,3031238
7900000,1812669,3033829
7925000,1844176,3085646
7950000,1842244,3095525
7975000,1840771,3099914
8000000,1840518,3107223
8025000,1841711,3101260
8050000,1841730,3094148
8075000,1874131,3142313
8100000,1878092,3140439
8125000,1883923,3142537
8150000,1915030,3163470
8175000,1922191,3182018
8200000,1926871,3204360
8225000,1937024,3221345
8250000,1942813,3240608
8275000,1954753,3266884
8300000,1953827,3267825
8325000,1947608,3266894
8350000,1911258,3212595
8375000,1892390,3183440
8400000,1898764,3177621
8425000,1941277,3221298
8450000,1953136,3236734
8475000,1940613,3240152
8500000,1943073,3234989
8525000,1943663,3238698
8550000,1941463,3241057
8575000,1958355,3255319
8600000,1960266,3259280
8625000,1961700,3255879
